Date,Open,High,Low,Close,Adj Close,Volume
9/26/2014,142.520004,142.889999,140.979996,142.419998,110.955971,3557700
9/29/2014,140.940002,142.339996,140.660004,142.190002,110.776787,2848300
9/30/2014,142.5,142.899994,141.279999,141.679993,110.379433,2675100
10/1/2014,141.160004,141.669998,138.720001,139.179993,108.431755,2925900
10/2/2014,138.570007,139.320007,137.949997,138.669998,108.034401,3221300
10/3/2014,139.330002,140.449997,138.570007,140.169998,109.203049,3514100
10/6/2014,140.550003,141.279999,139.589996,140.339996,109.335503,2464700
10/7/2014,138.820007,140.179993,137.660004,137.679993,107.263138,3144900
10/8/2014,138.25,141.479996,137.720001,141.410004,110.169098,4135500
10/9/2014,141.149994,141.5,138.330002,138.639999,108.011047,3768000
10/10/2014,139.330002,139.600006,133.820007,133.830002,104.263702,7366500
10/13/2014,134.259995,135.350006,131.009995,132.899994,103.539146,4583400
10/14/2014,133.649994,135.940002,133.210007,134.179993,104.536369,3644300
10/15/2014,132.559998,134.639999,130.600006,134.220001,104.567535,4794700
10/16/2014,133.419998,135.970001,132.75,135.050003,105.214165,3497200
10/17/2014,135.75,137.850006,135.75,137.399994,107.045029,3746400
10/20/2014,137.149994,137.75,136.759995,137.600006,107.200806,2782500
10/21/2014,138.399994,141.100006,138.339996,140.929993,109.795135,3078400
10/22/2014,140.899994,141.089996,138.699997,138.949997,108.252548,4294300
10/23/2014,141.919998,147.919998,141.919998,145.050003,113.004921,7424400
10/24/2014,145,148.789993,144.809998,148.589996,115.762848,4480900
10/27/2014,148.089996,149.710007,147.339996,149.559998,116.518547,2840000
10/28/2014,149.830002,151.130005,149.559998,151.059998,117.687149,2358800
10/29/2014,151.389999,151.729996,150.199997,151.009995,117.648201,2060600
10/30/2014,150.490005,152.399994,150,152.100006,118.497414,1836500
10/31/2014,153.830002,154.440002,153.089996,153.770004,119.79847,3016300
11/3/2014,153.139999,154.389999,152.979996,153.300003,119.432297,2367500
11/4/2014,153.919998,155.229996,153.240005,155.050003,120.795692,3128600
11/5/2014,155.679993,156.240005,154.139999,155.690002,121.294281,2770400
11/6/2014,155.690002,156.679993,155.210007,156.050003,121.574753,2067200
11/7/2014,156.149994,156.619995,155.479996,156.550003,121.964294,1882800
11/10/2014,156.25,157.710007,156.050003,157.660004,122.829109,1463500
11/11/2014,157.949997,158,156.649994,157.110001,122.400589,1806600
11/12/2014,156.649994,157.869995,156.5,157.679993,122.844643,1500700
11/13/2014,158,159.070007,157.479996,158.350006,123.366585,2375100
11/14/2014,158.529999,158.880005,157.710007,158.850006,123.756195,1786300
11/17/2014,158.089996,159.160004,158.089996,158.690002,123.631485,1674300
11/18/2014,158.880005,160.460007,158.850006,160.149994,124.768951,2311400
11/19/2014,159.330002,159.410004,157.970001,158.830002,124.404739,2314700
11/20/2014,158.190002,159.550003,157.839996,159.360001,124.819893,1749000
11/21/2014,160.309998,160.860001,159.589996,160.160004,125.446442,2472000
11/24/2014,160.160004,160.559998,159.410004,159.880005,125.22718,2358200
11/25/2014,159,159.679993,158.059998,158.059998,123.801643,3646300
11/26/2014,157.970001,158.449997,157.5,158.309998,123.997459,1823200
11/28/2014,159.580002,160.820007,158.800003,160.089996,125.391655,1565500
12/1/2014,158.350006,159.509995,157.860001,158.160004,123.879944,2502100
12/2/2014,158.779999,160.779999,158.539993,160.600006,125.791145,2504400
12/3/2014,161.100006,162.440002,160.169998,162.259995,127.091324,3038800
12/4/2014,162,162.919998,160.899994,162.259995,127.091324,2164200
12/5/2014,162.399994,162.899994,161.880005,162.270004,127.099129,1722600
12/8/2014,162.100006,162.800003,160.100006,160.929993,126.049591,1898300
12/9/2014,159.889999,161.100006,159.110001,160.830002,125.97123,2043100
12/10/2014,160.710007,160.809998,157.699997,158.240005,123.942612,3243700
12/11/2014,159.179993,160.220001,158.419998,159.149994,124.655396,2437300
12/12/2014,158.559998,158.990005,157.119995,157.119995,123.065384,2820600
12/15/2014,158.119995,158.440002,155.589996,156.850006,122.853897,2609300
12/16/2014,157.259995,161.440002,157.080002,159.050003,124.577103,3380800
12/17/2014,159.289993,160.889999,157.779999,160.600006,125.791145,3942600
12/18/2014,162.399994,165.300003,162,165.300003,129.472427,3359800
12/19/2014,164.779999,166.089996,164.360001,165.479996,129.613419,4891300
12/22/2014,166.220001,167.309998,166.139999,167.270004,131.015427,2081600
12/23/2014,168.020004,168.160004,166.869995,166.869995,130.702133,2190200
12/24/2014,166.169998,167.610001,166.169998,166.960007,130.772629,981600
12/26/2014,167.339996,167.809998,166.149994,166.259995,130.22438,1607400
12/29/2014,166.300003,167.119995,165.809998,166.710007,130.576843,1215700
12/30/2014,166.550003,166.740005,165.279999,165.839996,129.895386,1180700
12/31/2014,166,167.169998,164.199997,164.320007,128.704849,1623700
1/2/2015,164.710007,165.080002,162.729996,164.059998,128.50116,2116400
1/5/2015,163,163.639999,160.080002,160.360001,125.603111,3692900
1/6/2015,160.820007,161.369995,157.740005,158.649994,124.263779,3532000
1/7/2015,159.899994,160.279999,158.940002,159.800003,125.164528,3081300
1/8/2015,160.649994,163.690002,160.520004,163.630005,128.164398,3142900
1/9/2015,163.850006,164,161.270004,161.619995,126.590057,2378600
1/12/2015,162.389999,162.389999,160.020004,160.740005,125.900757,2149200
1/13/2015,162.229996,164.380005,159.449997,160.619995,125.806801,2703000
1/14/2015,159.039993,160.529999,158.5,159.839996,125.195847,1983500
1/15/2015,160.889999,161.440002,159.369995,159.660004,125.054817,1876800
1/16/2015,159.860001,162.179993,159.089996,162,126.88765,2349700
1/20/2015,162.720001,163.399994,160.059998,161.940002,126.840668,2091800
1/21/2015,161.660004,163.369995,161.020004,162.539993,127.310623,1597700
1/22/2015,163.259995,165.990005,162.130005,165.889999,129.93457,2225800
1/23/2015,165.75,165.979996,163.910004,164.020004,128.469879,2245600
1/26/2015,163.619995,164.279999,161.800003,164.240005,128.642197,3556300
1/27/2015,162.309998,165.139999,160.940002,163.630005,128.164398,4190700
1/28/2015,164.610001,166.570007,163.759995,163.940002,128.407181,3574600
1/29/2015,164.070007,166.160004,162.880005,166.130005,130.122513,2674600
1/30/2015,164.75,165.220001,162.300003,162.300003,127.122673,3561900
2/2/2015,162.119995,164.619995,160.889999,164.419998,128.783127,2379700
2/3/2015,165.169998,166.190002,164.710007,165.940002,129.973709,2604800
2/4/2015,165.779999,165.830002,164.240005,164.809998,129.088623,2363600
2/5/2015,165.309998,166.589996,164.75,166.550003,130.451508,2050500
2/6/2015,166.229996,167.679993,165.559998,166.070007,130.075546,1826900
2/9/2015,164.380005,165.539993,163.839996,164.839996,129.112122,2073000
2/10/2015,165.399994,166.139999,164.600006,165.820007,129.87973,1885100
2/11/2015,164.520004,164.970001,163.470001,164.479996,129.631439,1695100
2/12/2015,164.929993,165.949997,164.850006,165.910004,130.758499,1615700
2/13/2015,165.899994,166.619995,165.330002,165.940002,130.78212,1792000
2/17/2015,165.940002,166.919998,165.089996,166.919998,131.554504,2100900
2/18/2015,166.919998,167.509995,166.009995,167.399994,131.932785,1552000
2/19/2015,167.399994,167.550003,166.580002,167.089996,131.688431,1648800
2/20/2015,166.740005,168.270004,165.130005,168.119995,132.500275,2416600
2/23/2015,168.139999,168.869995,167.699997,168.809998,133.044067,1836000
2/24/2015,168.270004,169.25,168.070007,169.119995,133.288376,1770300
2/25/2015,168.970001,169.660004,168.619995,168.889999,133.107101,2019100
2/26/2015,168.850006,169.979996,168.639999,169.610001,133.674576,1789400
2/27/2015,169.660004,169.75,168.559998,168.649994,132.917969,1946000
3/2/2015,168.160004,170.5,168.119995,170.5,134.376007,2223100
3/3/2015,169.570007,169.600006,167.360001,168.270004,132.618484,2232400
3/4/2015,168.259995,168.259995,166.460007,167.160004,131.743652,1575700
3/5/2015,167.210007,167.699997,166.690002,167.570007,132.066772,1547200
3/6/2015,166.5,166.770004,164.009995,164.360001,129.53688,2114400
3/9/2015,164.720001,166.779999,164.509995,166.369995,131.121033,1608100
3/10/2015,164.809998,164.860001,162.25,162.259995,127.881821,2564600
3/11/2015,162.699997,163.220001,161.660004,161.729996,127.464127,1894300
3/12/2015,162.589996,164.520004,162.570007,164.470001,129.623581,1715000
3/13/2015,164.020004,164.389999,161.779999,162.740005,128.260162,2284700
3/16/2015,163.580002,166.270004,163.580002,166.210007,130.994934,2111200
3/17/2015,165.520004,165.529999,163.380005,164.229996,129.434418,2557900
3/18/2015,163.160004,166.949997,162.050003,166.470001,131.199829,3062400
3/19/2015,166.160004,166.210007,164.850006,165.660004,130.561462,1953500
3/20/2015,166.089996,167.130005,165.389999,166.490005,131.215576,4371800
3/23/2015,166.830002,166.910004,165.830002,166.130005,130.9319,2157300
3/24/2015,165.580002,167.649994,165.529999,166.320007,131.081635,2091000
3/25/2015,166.240005,166.520004,162.660004,162.699997,128.228592,2540900
3/26/2015,162,163.369995,161.210007,162.589996,128.141937,2050700
3/27/2015,162.360001,163.899994,162.020004,163.5,128.8591,1722600
3/30/2015,164.199997,166.770004,164.199997,166.050003,130.86882,1684000
3/31/2015,165.410004,166,164.619995,164.949997,130.001892,2081300
4/1/2015,164.289993,164.539993,161.899994,162.520004,128.086716,2148100
4/2/2015,163.380005,163.970001,162.119995,162.800003,128.307404,1852600
4/6/2015,161.660004,165.990005,161.399994,165.479996,130.419632,2560300
4/7/2015,165.399994,167.570007,165.279999,166.210007,130.994934,2479500
4/8/2015,166.210007,167.220001,165.210007,166.270004,131.042221,1754400
4/9/2015,166.25,167.179993,165.080002,166.789993,131.452011,1680100
4/10/2015,167.5,167.699997,166.220001,167.070007,131.672745,1501900
4/13/2015,166.759995,167.360001,165.600006,165.839996,130.703323,1860400
4/14/2015,165.320007,166.479996,164.169998,165.990005,130.821518,1914300
4/15/2015,166.720001,167.339996,165.860001,166.440002,131.176178,1995800
4/16/2015,165.729996,166.649994,165.100006,165.889999,130.742737,1662800
4/17/2015,164.529999,164.539993,161.130005,161.710007,127.448364,3063500
4/20/2015,163,165.389999,162.729996,164.509995,129.655106,2394200
4/21/2015,165.649994,165.699997,163.619995,164,129.253159,1970500
4/22/2015,163.809998,164.889999,162.570007,164.669998,129.781219,2228800
4/23/2015,159.539993,161.449997,158.610001,159.660004,125.832672,5704500
4/24/2015,159.809998,159.809998,157.850006,158.990005,125.304642,3043500
4/27/2015,159.479996,160.070007,157.809998,157.979996,124.508621,3448800
4/28/2015,157.690002,158.360001,156.179993,158.330002,124.784485,3387900
4/29/2015,157.419998,157.929993,156.179993,156.970001,123.712631,3078600
4/30/2015,156.820007,157.919998,156.009995,156.389999,123.255478,3510200
5/1/2015,156.789993,158.089996,156.789993,157.679993,124.272186,2160100
5/4/2015,158.399994,159.850006,157.880005,159.020004,125.328247,2240300
5/5/2015,158.860001,159.449997,157.410004,157.910004,124.453453,1947700
5/6/2015,157.919998,159.080002,156.550003,157.639999,124.240639,2203100
5/7/2015,157.229996,159.199997,157.229996,158.610001,125.005127,2112900
5/8/2015,160.25,161.399994,160.059998,160.600006,126.573555,2025500
5/11/2015,160.259995,161,159.800003,159.899994,126.021835,1708700
5/12/2015,158.710007,160.399994,158.009995,160.070007,126.155861,1864800
5/13/2015,160.429993,161.740005,160.360001,161.309998,127.133064,2587900
5/14/2015,162.089996,163.300003,161.800003,163.149994,128.583282,2462500
5/15/2015,163.149994,163.770004,162.649994,163.300003,128.701462,1923800
5/18/2015,163,163.589996,162.309998,162.869995,128.362579,1747800
5/19/2015,163.070007,163.589996,162.550003,163.119995,128.559601,2075100
5/20/2015,162.419998,163.070007,161.839996,161.899994,128.404968,1978100
5/21/2015,161.899994,162.350006,161.800003,162.059998,128.531845,2400800
5/22/2015,161.990005,162.330002,160.660004,160.979996,127.675255,1822700
